ID TEST,ERROR LOG,KEYS,COMPONENTS,RESULT,PROCEDURE,BUG SUITE,BUG PRODOTTO
[M2M_V3_MANUAL_ARCHIVING_DESCRIPTOR_1.2],"failed: java.lang.RuntimeException: Invalid response 400 BAD_REQUEST: class Client {    id: 812ed082-a3bd-4191-a80b-2840b65e3b94    createdAt: 2026-07-08T19:27:15.710Z    consumer: class CompactOrganization {        id: e79a24cd-8edc-441e-ae8d-e87c3aea0059        name: Comune di Milano        kind: null        contactMail: null        hasUnreadNotifications: null    }    admin: null    name: client-0-0-694625103    purposes: []    description: Descrizione client    kind: API}	at it.pagopa.interop.authorization.service.DataPreparationService.assertValidResponse(DataPreparationService.java:147)	at it.pagopa.interop.authorization.service.DataPreparationService.addMemberToClient(DataPreparationService.java:71)	at it.pagopa.interop.authorization.service.M2MTokenService.getToken(M2MTokenService.java:79)	at it.pagopa.interop.authorization.service.identity.IdentityServiceInteropImpl.getToken(IdentityServiceInteropImpl.java:36)	at it.pagopa.interop.authorization.service.identity.IdentityServiceInteropImpl.getToken(IdentityServiceInteropImpl.java:29)	at it.pagopa.pn.interop.cucumber.steps.m2m.M2MAuthSteps.authenticateM2MUser(M2MAuthSteps.java:61)	at ✽.l'utente è un ""admin"" di ""PA1"" con ruolo M2M m2m(classpath:it/pagopa/pn/cucumber/m2mgateway/apiv3/m2m-v3-descriptor-archiving.feature:20)","
","
","Il test fallisce perché l'endpoint restituisce inizialmente una serie di errori 504 Gateway Timeout e un 500 Internal Server Error, seguiti infine da un 400 Bad Request con dettaglio ""User already assigned to the client"". Questo comportamento dimostra che, nonostante i codici di errore della famiglia 5XX ricevuti inizialmente, l'operazione è stata in realtà presa in carico ed eseguita con successo dal backend. Il KO è pertanto da considerarsi un falso negativo applicativo, causato da un problema di latenza o di gestione dei timeout infrastrutturali che ha interrotto la corretta ricezione della risposta.","Analisi dei log ed esecuzione in locale.
",,PIN-10570
[M2M_V3_MANUAL_ARCHIVING_ESERVICE_1.4],"failed: java.lang.RuntimeException: Invalid response 400 BAD_REQUEST: class Client {    id: 9b20bd8d-f05e-47c7-a82a-94df69938374    createdAt: 2026-07-08T19:37:33.064Z    consumer: class CompactOrganization {        id: e79a24cd-8edc-441e-ae8d-e87c3aea0059        name: Comune di Milano        kind: null        contactMail: null        hasUnreadNotifications: null    }    admin: null    name: client-0-0-896469829    purposes: []    description: Descrizione client    kind: API}	at it.pagopa.interop.authorization.service.DataPreparationService.assertValidResponse(DataPreparationService.java:147)	at it.pagopa.interop.authorization.service.DataPreparationService.addMemberToClient(DataPreparationService.java:71)	at it.pagopa.interop.authorization.service.M2MTokenService.getToken(M2MTokenService.java:79)	at it.pagopa.interop.authorization.service.identity.IdentityServiceInteropImpl.getToken(IdentityServiceInteropImpl.java:36)	at it.pagopa.interop.authorization.service.identity.IdentityServiceInteropImpl.getToken(IdentityServiceInteropImpl.java:29)	at it.pagopa.pn.interop.cucumber.steps.m2m.M2MAuthSteps.authenticateM2MUser(M2MAuthSteps.java:61)	at ✽.l'utente è un ""admin"" di ""PA1"" con ruolo M2M m2m(classpath:it/pagopa/pn/cucumber/m2mgateway/apiv3/m2m-v3-eservice-archiving.feature:46)","
","
","Il test fallisce perché l'endpoint restituisce inizialmente una serie di errori 504 Gateway Timeout e un 500 Internal Server Error, seguiti infine da un 400 Bad Request con dettaglio ""User already assigned to the client"". Questo comportamento dimostra che, nonostante i codici di errore della famiglia 5XX ricevuti inizialmente, l'operazione è stata in realtà presa in carico ed eseguita con successo dal backend. Il KO è pertanto da considerarsi un falso negativo applicativo, causato da un problema di latenza o di gestione dei timeout infrastrutturali che ha interrotto la corretta ricezione della risposta.","Analisi dei log ed esecuzione in locale.
",,PIN-10570
[M2M_V3_MANUAL_ARCHIVING_ESERVICE_CANCELLATION_1.6],"failed: java.lang.RuntimeException: Invalid response 400 BAD_REQUEST: class Client {    id: af39e905-1535-4b15-be5f-b48ca4d8f12f    createdAt: 2026-07-08T19:27:21.341Z    consumer: class CompactOrganization {        id: e79a24cd-8edc-441e-ae8d-e87c3aea0059        name: Comune di Milano        kind: null        contactMail: null        hasUnreadNotifications: null    }    admin: null    name: client-0-0-1531161517    purposes: []    description: Descrizione client    kind: API}	at it.pagopa.interop.authorization.service.DataPreparationService.assertValidResponse(DataPreparationService.java:147)	at it.pagopa.interop.authorization.service.DataPreparationService.addMemberToClient(DataPreparationService.java:71)	at it.pagopa.interop.authorization.service.M2MTokenService.getToken(M2MTokenService.java:79)	at it.pagopa.interop.authorization.service.identity.IdentityServiceInteropImpl.getToken(IdentityServiceInteropImpl.java:36)	at it.pagopa.interop.authorization.service.identity.IdentityServiceInteropImpl.getToken(IdentityServiceInteropImpl.java:29)	at it.pagopa.pn.interop.cucumber.steps.m2m.M2MAuthSteps.authenticateM2MUser(M2MAuthSteps.java:61)	at ✽.l'utente è un ""admin"" di ""PA1"" con ruolo M2M m2m-admin(classpath:it/pagopa/pn/cucumber/m2mgateway/apiv3/m2m-v3-eservice-archiving.feature:202)","
","
","Il test fallisce perché l'endpoint restituisce inizialmente una serie di errori 504 Gateway Timeout e un 500 Internal Server Error, seguiti infine da un 400 Bad Request con dettaglio ""User already assigned to the client"". Questo comportamento dimostra che, nonostante i codici di errore della famiglia 5XX ricevuti inizialmente, l'operazione è stata in realtà presa in carico ed eseguita con successo dal backend. Il KO è pertanto da considerarsi un falso negativo applicativo, causato da un problema di latenza o di gestione dei timeout infrastrutturali che ha interrotto la corretta ricezione della risposta.","Analisi dei log ed esecuzione in locale.
",,PIN-10570
[CREATE_PRODUCER_KEYCHAINS_1b],"failed: java.lang.RuntimeException: Invalid response 504 GATEWAY_TIMEOUT: [class CompactUser {    userId: f07ddb8f-17f9-47d4-b31e-35d1ac10e521    name: Ivan    familyName: Diana}]	at it.pagopa.interop.authorization.service.DataPreparationService.assertValidResponse(DataPreparationService.java:147)	at it.pagopa.interop.authorization.service.DataPreparationService.editClientAdmin(DataPreparationService.java:122)	at it.pagopa.interop.authorization.service.M2MTokenService.getToken(M2MTokenService.java:82)	at it.pagopa.interop.authorization.service.identity.IdentityServiceInteropImpl.getToken(IdentityServiceInteropImpl.java:36)	at it.pagopa.interop.authorization.service.identity.IdentityServiceInteropImpl.getToken(IdentityServiceInteropImpl.java:29)	at it.pagopa.pn.interop.cucumber.steps.m2m.M2MAuthSteps.authenticateM2MUser(M2MAuthSteps.java:61)	at ✽.l'utente è un ""admin"" di ""PA1"" con ruolo M2M m2m-admin(classpath:it/pagopa/pn/cucumber/m2mgateway/apiv3/producer-keychains/producer-keychains-create.feature:28)","
","
","Il test fallisce perché l'endpoint restituisce inizialmente una serie di errori 504 Gateway Timeout e un 500 Internal Server Error, seguiti infine da un 400 Bad Request con dettaglio ""User already assigned to the client"". Questo comportamento dimostra che, nonostante i codici di errore della famiglia 5XX ricevuti inizialmente, l'operazione è stata in realtà presa in carico ed eseguita con successo dal backend. Il KO è pertanto da considerarsi un falso negativo applicativo, causato da un problema di latenza o di gestione dei timeout infrastrutturali che ha interrotto la corretta ricezione della risposta.","Analisi dei log ed esecuzione in locale.
",,PIN-10570
[CREATE_PRODUCER_KEYCHAINS_1b],"failed: java.lang.RuntimeException: Invalid response 400 BAD_REQUEST: class Client {    id: 67631a0c-4246-4ee8-a8a9-65e60fec8538    createdAt: 2026-07-08T19:28:35.882Z    consumer: class CompactOrganization {        id: e79a24cd-8edc-441e-ae8d-e87c3aea0059        name: Comune di Milano        kind: null        contactMail: null        hasUnreadNotifications: null    }    admin: null    name: client-0-0-1718917057    purposes: []    description: Descrizione client    kind: API}	at it.pagopa.interop.authorization.service.DataPreparationService.assertValidResponse(DataPreparationService.java:147)	at it.pagopa.interop.authorization.service.DataPreparationService.addMemberToClient(DataPreparationService.java:71)	at it.pagopa.interop.authorization.service.M2MTokenService.getToken(M2MTokenService.java:79)	at it.pagopa.interop.authorization.service.identity.IdentityServiceInteropImpl.getToken(IdentityServiceInteropImpl.java:36)	at it.pagopa.interop.authorization.service.identity.IdentityServiceInteropImpl.getToken(IdentityServiceInteropImpl.java:29)	at it.pagopa.pn.interop.cucumber.steps.m2m.M2MAuthSteps.authenticateM2MUser(M2MAuthSteps.java:61)	at ✽.l'utente è un ""admin"" di ""PA1"" con ruolo M2M m2m-admin(classpath:it/pagopa/pn/cucumber/m2mgateway/apiv3/producer-keychains/producer-keychains-create.feature:28)","
","
","Il test fallisce perché l'endpoint restituisce inizialmente una serie di errori 504 Gateway Timeout e un 500 Internal Server Error, seguiti infine da un 400 Bad Request con dettaglio ""User already assigned to the client"". Questo comportamento dimostra che, nonostante i codici di errore della famiglia 5XX ricevuti inizialmente, l'operazione è stata in realtà presa in carico ed eseguita con successo dal backend. Il KO è pertanto da considerarsi un falso negativo applicativo, causato da un problema di latenza o di gestione dei timeout infrastrutturali che ha interrotto la corretta ricezione della risposta.","Analisi dei log ed esecuzione in locale.
",,PIN-10570
[CREATE_PRODUCER_KEYCHAINS_1b],"failed: java.lang.RuntimeException: Invalid response 400 BAD_REQUEST: class Client {    id: 07f98e4c-8f76-4579-92a1-f8a65f218064    createdAt: 2026-07-08T19:28:37.155Z    consumer: class CompactOrganization {        id: e79a24cd-8edc-441e-ae8d-e87c3aea0059        name: Comune di Milano        kind: null        contactMail: null        hasUnreadNotifications: null    }    admin: null    name: client-0-0-1380293451    purposes: []    description: Descrizione client    kind: API}	at it.pagopa.interop.authorization.service.DataPreparationService.assertValidResponse(DataPreparationService.java:147)	at it.pagopa.interop.authorization.service.DataPreparationService.addMemberToClient(DataPreparationService.java:71)	at it.pagopa.interop.authorization.service.M2MTokenService.getToken(M2MTokenService.java:79)	at it.pagopa.interop.authorization.service.identity.IdentityServiceInteropImpl.getToken(IdentityServiceInteropImpl.java:36)	at it.pagopa.interop.authorization.service.identity.IdentityServiceInteropImpl.getToken(IdentityServiceInteropImpl.java:29)	at it.pagopa.pn.interop.cucumber.steps.m2m.M2MAuthSteps.authenticateM2MUser(M2MAuthSteps.java:61)	at ✽.l'utente è un ""admin"" di ""PA1"" con ruolo M2M m2m-admin(classpath:it/pagopa/pn/cucumber/m2mgateway/apiv3/producer-keychains/producer-keychains-create.feature:28)","
","
","Il test fallisce perché l'endpoint restituisce inizialmente una serie di errori 504 Gateway Timeout e un 500 Internal Server Error, seguiti infine da un 400 Bad Request con dettaglio ""User already assigned to the client"". Questo comportamento dimostra che, nonostante i codici di errore della famiglia 5XX ricevuti inizialmente, l'operazione è stata in realtà presa in carico ed eseguita con successo dal backend. Il KO è pertanto da considerarsi un falso negativo applicativo, causato da un problema di latenza o di gestione dei timeout infrastrutturali che ha interrotto la corretta ricezione della risposta.","Analisi dei log ed esecuzione in locale.
",,PIN-10570
[CREATE_PRODUCER_KEYCHAINS_1b],"failed: java.lang.RuntimeException: Invalid response 504 GATEWAY_TIMEOUT: class Client {    id: 6912bd44-9e51-4840-a982-04f0f2119bd3    createdAt: 2026-07-08T19:26:59.697Z    consumer: class CompactOrganization {        id: e79a24cd-8edc-441e-ae8d-e87c3aea0059        name: Comune di Milano        kind: null        contactMail: null        hasUnreadNotifications: null    }    admin: class CompactUser {        userId: f07ddb8f-17f9-47d4-b31e-35d1ac10e521        name: Ivan        familyName: Diana    }    name: client-0-0-1724324410    purposes: []    description: Descrizione client    kind: API}	at it.pagopa.interop.authorization.service.DataPreparationService.assertValidResponse(DataPreparationService.java:147)	at it.pagopa.interop.authorization.service.DataPreparationService.addPublicKeyToClient(DataPreparationService.java:99)	at it.pagopa.interop.authorization.service.M2MTokenService.getToken(M2MTokenService.java:89)	at it.pagopa.interop.authorization.service.identity.IdentityServiceInteropImpl.getToken(IdentityServiceInteropImpl.java:36)	at it.pagopa.interop.authorization.service.identity.IdentityServiceInteropImpl.getToken(IdentityServiceInteropImpl.java:29)	at it.pagopa.pn.interop.cucumber.steps.m2m.M2MAuthSteps.authenticateM2MUser(M2MAuthSteps.java:61)	at ✽.l'utente è un ""admin"" di ""PA1"" con ruolo M2M m2m-admin(classpath:it/pagopa/pn/cucumber/m2mgateway/apiv3/producer-keychains/producer-keychains-create.feature:28)","
","
","Il test fallisce perché l'endpoint restituisce inizialmente una serie di errori 504 Gateway Timeout e un 500 Internal Server Error, seguiti infine da un 400 Bad Request con dettaglio ""User already assigned to the client"". Questo comportamento dimostra che, nonostante i codici di errore della famiglia 5XX ricevuti inizialmente, l'operazione è stata in realtà presa in carico ed eseguita con successo dal backend. Il KO è pertanto da considerarsi un falso negativo applicativo, causato da un problema di latenza o di gestione dei timeout infrastrutturali che ha interrotto la corretta ricezione della risposta.","Analisi dei log ed esecuzione in locale.
",,PIN-10570
[CREATE_PRODUCER_KEYCHAINS_2],"failed: java.lang.RuntimeException: Invalid response 400 BAD_REQUEST: class Client {    id: 34d6f08a-fa8b-47eb-abb1-59cd3d0e736c    createdAt: 2026-07-08T19:28:35.854Z    consumer: class CompactOrganization {        id: e79a24cd-8edc-441e-ae8d-e87c3aea0059        name: Comune di Milano        kind: null        contactMail: null        hasUnreadNotifications: null    }    admin: null    name: client-0-0-1881386342    purposes: []    description: Descrizione client    kind: API}	at it.pagopa.interop.authorization.service.DataPreparationService.assertValidResponse(DataPreparationService.java:147)	at it.pagopa.interop.authorization.service.DataPreparationService.addMemberToClient(DataPreparationService.java:71)	at it.pagopa.interop.authorization.service.M2MTokenService.getToken(M2MTokenService.java:79)	at it.pagopa.interop.authorization.service.identity.IdentityServiceInteropImpl.getToken(IdentityServiceInteropImpl.java:36)	at it.pagopa.interop.authorization.service.identity.IdentityServiceInteropImpl.getToken(IdentityServiceInteropImpl.java:29)	at it.pagopa.pn.interop.cucumber.steps.m2m.M2MAuthSteps.authenticateM2MUser(M2MAuthSteps.java:61)	at ✽.l'utente è un ""admin"" di ""PA1"" con ruolo M2M m2m-admin(classpath:it/pagopa/pn/cucumber/m2mgateway/apiv3/producer-keychains/producer-keychains-create.feature:61)","
","
","Il test fallisce perché l'endpoint restituisce inizialmente una serie di errori 504 Gateway Timeout e un 500 Internal Server Error, seguiti infine da un 400 Bad Request con dettaglio ""User already assigned to the client"". Questo comportamento dimostra che, nonostante i codici di errore della famiglia 5XX ricevuti inizialmente, l'operazione è stata in realtà presa in carico ed eseguita con successo dal backend. Il KO è pertanto da considerarsi un falso negativo applicativo, causato da un problema di latenza o di gestione dei timeout infrastrutturali che ha interrotto la corretta ricezione della risposta.","Analisi dei log ed esecuzione in locale.
",,PIN-10570
[CREATE_PRODUCER_KEYCHAINS_2],"failed: java.lang.RuntimeException: Invalid response 504 GATEWAY_TIMEOUT: [class CompactUser {    userId: f07ddb8f-17f9-47d4-b31e-35d1ac10e521    name: Ivan    familyName: Diana}]	at it.pagopa.interop.authorization.service.DataPreparationService.assertValidResponse(DataPreparationService.java:147)	at it.pagopa.interop.authorization.service.DataPreparationService.editClientAdmin(DataPreparationService.java:122)	at it.pagopa.interop.authorization.service.M2MTokenService.getToken(M2MTokenService.java:82)	at it.pagopa.interop.authorization.service.identity.IdentityServiceInteropImpl.getToken(IdentityServiceInteropImpl.java:36)	at it.pagopa.interop.authorization.service.identity.IdentityServiceInteropImpl.getToken(IdentityServiceInteropImpl.java:29)	at it.pagopa.pn.interop.cucumber.steps.m2m.M2MAuthSteps.authenticateM2MUser(M2MAuthSteps.java:61)	at ✽.l'utente è un ""admin"" di ""PA1"" con ruolo M2M m2m-admin(classpath:it/pagopa/pn/cucumber/m2mgateway/apiv3/producer-keychains/producer-keychains-create.feature:61)","
","
","Il test fallisce perché l'endpoint restituisce inizialmente una serie di errori 504 Gateway Timeout e un 500 Internal Server Error, seguiti infine da un 400 Bad Request con dettaglio ""User already assigned to the client"". Questo comportamento dimostra che, nonostante i codici di errore della famiglia 5XX ricevuti inizialmente, l'operazione è stata in realtà presa in carico ed eseguita con successo dal backend. Il KO è pertanto da considerarsi un falso negativo applicativo, causato da un problema di latenza o di gestione dei timeout infrastrutturali che ha interrotto la corretta ricezione della risposta.","Analisi dei log ed esecuzione in locale.
",,PIN-10570
[DELETE_PRODUCER_KEYCHAINS_1],"failed: java.lang.RuntimeException: Invalid response 400 BAD_REQUEST: class Client {    id: b8b55ab6-519b-4897-a318-a937aed54ea0    createdAt: 2026-07-08T19:27:04.333Z    consumer: class CompactOrganization {        id: e79a24cd-8edc-441e-ae8d-e87c3aea0059        name: Comune di Milano        kind: null        contactMail: null        hasUnreadNotifications: null    }    admin: null    name: client-0-0-401062938    purposes: []    description: Descrizione client    kind: API}	at it.pagopa.interop.authorization.service.DataPreparationService.assertValidResponse(DataPreparationService.java:147)	at it.pagopa.interop.authorization.service.DataPreparationService.addMemberToClient(DataPreparationService.java:71)	at it.pagopa.interop.authorization.service.M2MTokenService.getToken(M2MTokenService.java:79)	at it.pagopa.interop.authorization.service.identity.IdentityServiceInteropImpl.getToken(IdentityServiceInteropImpl.java:36)	at it.pagopa.interop.authorization.service.identity.IdentityServiceInteropImpl.getToken(IdentityServiceInteropImpl.java:29)	at it.pagopa.pn.interop.cucumber.steps.m2m.M2MAuthSteps.authenticateM2MUser(M2MAuthSteps.java:61)	at ✽.l'utente è un ""admin"" di ""PA1"" con ruolo M2M m2m-admin(classpath:it/pagopa/pn/cucumber/m2mgateway/apiv3/producer-keychains/producer-keychains-delete.feature:5)","
","
","Il test fallisce perché l'endpoint restituisce inizialmente una serie di errori 504 Gateway Timeout e un 500 Internal Server Error, seguiti infine da un 400 Bad Request con dettaglio ""User already assigned to the client"". Questo comportamento dimostra che, nonostante i codici di errore della famiglia 5XX ricevuti inizialmente, l'operazione è stata in realtà presa in carico ed eseguita con successo dal backend. Il KO è pertanto da considerarsi un falso negativo applicativo, causato da un problema di latenza o di gestione dei timeout infrastrutturali che ha interrotto la corretta ricezione della risposta.","Analisi dei log ed esecuzione in locale.
",,PIN-10570
