ID TEST,ERROR LOG,KEYS,COMPONENTS,RESULT,PROCEDURE,BUG SUITE,BUG PRODOTTO
[AGREEMENT_ACTIVATE_04A],"failed: org.opentest4j.AssertionFailedError: expected: <409> but was: <400>
at it.pagopa.pn.interop.cucumber.steps.authorization.ClientCommonSteps.verifyStatusCode(ClientCommonSteps.java:107)
at ✽.si ottiene status code 409(classpath:it/pagopa/pn/cucumber/agreement/agreement-activate.feature:100)
",,,Il test fallisce visto lo status code ricevuto non conforme a quello atteso.,Analisi dei logEsecuzione del test in locale,,PIN-10649
[AGREEMENT_ACTIVATE_04A],"failed: org.opentest4j.AssertionFailedError: expected: <409> but was: <400>
at it.pagopa.pn.interop.cucumber.steps.authorization.ClientCommonSteps.verifyStatusCode(ClientCommonSteps.java:107)
at ✽.si ottiene status code 409(classpath:it/pagopa/pn/cucumber/agreement/agreement-activate.feature:100)
",,,Il test fallisce visto lo status code ricevuto non conforme a quello atteso.,Analisi dei logEsecuzione del test in locale,,PIN-10649
[AGREEMENT_ACTIVATE_04A],"failed: org.opentest4j.AssertionFailedError: expected: <409> but was: <400>
at it.pagopa.pn.interop.cucumber.steps.authorization.ClientCommonSteps.verifyStatusCode(ClientCommonSteps.java:107)
at ✽.si ottiene status code 409(classpath:it/pagopa/pn/cucumber/agreement/agreement-activate.feature:100)
",,,Il test fallisce visto lo status code ricevuto non conforme a quello atteso.,Analisi dei logEsecuzione del test in locale,,PIN-10649
[AGREEMENT_ACTIVATE_04B],"failed: org.opentest4j.AssertionFailedError: expected: <409> but was: <400>
at it.pagopa.pn.interop.cucumber.steps.authorization.ClientCommonSteps.verifyStatusCode(ClientCommonSteps.java:107)
at ✽.si ottiene status code 409(classpath:it/pagopa/pn/cucumber/agreement/agreement-activate.feature:169)
",,,Il test fallisce visto lo status code ricevuto non conforme a quello atteso.,Analisi dei logEsecuzione del test in locale,,PIN-10649
[AGREEMENT_ACTIVATE_04C],"failed: org.opentest4j.AssertionFailedError: expected: <409> but was: <400>
at it.pagopa.pn.interop.cucumber.steps.authorization.ClientCommonSteps.verifyStatusCode(ClientCommonSteps.java:107)
at ✽.si ottiene status code 409(classpath:it/pagopa/pn/cucumber/agreement/agreement-activate.feature:185)
",,,Il test fallisce visto lo status code ricevuto non conforme a quello atteso.,Analisi dei logEsecuzione del test in locale,,PIN-10649
[AGREEMENTS_UNSUSPEND_2A],"failed: org.opentest4j.AssertionFailedError: expected: <409> but was: <400>
at it.pagopa.pn.interop.cucumber.steps.authorization.ClientCommonSteps.verifyStatusCode(ClientCommonSteps.java:107)
at ✽.si ottiene status code 409(classpath:it/pagopa/pn/cucumber/agreement/agreement-activate.feature:336)
",,,Il test fallisce visto lo status code ricevuto non conforme a quello atteso.,Analisi dei logEsecuzione del test in locale,,PIN-10632
[AGREEMENTS_UNSUSPEND_2A],"failed: org.opentest4j.AssertionFailedError: expected: <409> but was: <400>
at it.pagopa.pn.interop.cucumber.steps.authorization.ClientCommonSteps.verifyStatusCode(ClientCommonSteps.java:107)
at ✽.si ottiene status code 409(classpath:it/pagopa/pn/cucumber/agreement/agreement-activate.feature:336)
",,,Il test fallisce visto lo status code ricevuto non conforme a quello atteso.,Analisi dei logEsecuzione del test in locale,,PIN-10632
[AGREEMENTS_UNSUSPEND_2B],"failed: org.opentest4j.AssertionFailedError: expected: <409> but was: <400>
at it.pagopa.pn.interop.cucumber.steps.authorization.ClientCommonSteps.verifyStatusCode(ClientCommonSteps.java:107)
at ✽.si ottiene status code 409(classpath:it/pagopa/pn/cucumber/agreement/agreement-activate.feature:351)
",,,Il test fallisce visto lo status code ricevuto non conforme a quello atteso.,Analisi dei logEsecuzione del test in locale,,PIN-10632
[AGREEMENTS_UNSUSPEND_3],"failed: org.opentest4j.AssertionFailedError: expected: <409> but was: <400>
at it.pagopa.pn.interop.cucumber.steps.authorization.ClientCommonSteps.verifyStatusCode(ClientCommonSteps.java:107)
at ✽.si ottiene status code 409(classpath:it/pagopa/pn/cucumber/agreement/agreement-activate.feature:362)
",,,Il test fallisce visto lo status code ricevuto non conforme a quello atteso.,Analisi dei logEsecuzione del test in locale,,PIN-10632
[AGREEMENTS_UNSUSPEND_4],"failed: org.opentest4j.AssertionFailedError: expected: <409> but was: <400>
at it.pagopa.pn.interop.cucumber.steps.authorization.ClientCommonSteps.verifyStatusCode(ClientCommonSteps.java:107)
at ✽.si ottiene status code 409(classpath:it/pagopa/pn/cucumber/agreement/agreement-activate.feature:375)
",,,Il test fallisce visto lo status code ricevuto non conforme a quello atteso.,Analisi dei logEsecuzione del test in locale,,PIN-10632
